"Min","GilNK","TeudaGvoha","MachozMegurim","WFH_Exposure","n_cell"
2,"6","Post-secondary, non-academic","3",0.19940393241243,272633.717833
2,"6","Post-secondary, non-academic","4",0.201030834621747,503662.848436
2,"6","Post-secondary, non-academic","5",0.223643523169282,347752.122308
2,"6","Post-secondary, non-academic","6",0.181876334038739,316586.259591
2,"6","Post-secondary, non-academic","7",0.253071753885542,72255.87389
2,"6","Academic Degree (BA/MA/PhD)","1",0.232861836383253,486117.273734
2,"6","Academic Degree (BA/MA/PhD)","2",0.184397108789912,697253.583552
2,"6","Academic Degree (BA/MA/PhD)","3",0.267105921024975,740096.920798
2,"6","Academic Degree (BA/MA/PhD)","4",0.228281096059405,1890233.284394
2,"6","Academic Degree (BA/MA/PhD)","5",0.281071156376645,1044746.70195
2,"6","Academic Degree (BA/MA/PhD)","6",0.190814409723536,630356.845138
2,"6","Academic Degree (BA/MA/PhD)","7",0.184646935714426,223375.86486
2,"6","Other/No Certificate","1",0.206445539009564,12693.929523
2,"6","Other/No Certificate","2",0.169386121095982,18293.88302
2,"6","Other/No Certificate","3",0.0836583912220459,21053.50173
2,"6","Other/No Certificate","4",0.244496967199826,41446.41991
2,"6","Other/No Certificate","5",0.211121991250242,31858.48654
2,"6","Other/No Certificate","6",0.17969318876302,26351.414931
2,"6","Other/No Certificate","7",0.215162365553636,6341.561186
2,"6",NA,"1",0.24992454258637,15024.41511
2,"6",NA,"2",0.220755377474692,22674.547777
2,"6",NA,"3",0.277643878239411,29836.707643
2,"6",NA,"4",0.254923515518171,78429.373761
2,"6",NA,"5",0.259497900475631,50928.996167
2,"6",NA,"6",0.240015127730286,27581.005405
2,"6",NA,"7",0.310766655639979,3827.830069
2,"7","Below High School","1",0.161055447535822,23677.802419
